year	id	site	block	maternal	matall	treat.hab	basallvs	laterallvs	totallvs	lfbiomass	lateralbr	julharv	date.harv	julfrt	date.frt	roots	shoots	siliques	drywtseed	wetwtseed	numseeds	avgseedwt	dryheight	liveheight	rtshtratio	lfct04	germ04	survcalc	surv05
2005	A1	Benson	1	NA	Sun	Forest	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4	0	0
2005	A10	Benson	2	NA	Sun	Forest	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0.3	0	0
2005	A11	Benson	2	NA	Sun	Forest	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.3	0	0
2005	A12	Benson	2	NA	NOSEEDS	Forest	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
2005	A13	Benson	3	NA	Forest	Forest	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.88	0	0
2005	A14	Benson	3	NA	NOSEEDS	Forest	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
2005	A15	Benson	3	NA	Sun	Forest	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0
2005	A16	Benson	3	NA	Forest	Forest	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.67	0	0
2005	A17	Benson	3	NA	NOSEEDS	Forest	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
2005	A2	Benson	1	NA	Int	Forest	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.17	0	0
2005	A3	Benson	1	NA	Sun	Forest	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4	0	0
2005	A4	Benson	1	NA	Int	Forest	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2	0	0
2005	A5	Benson	1	NA	Int	Forest	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0
2005	A6	Benson	1	NA	Forest	Forest	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0.9	0	0
2005	A7	Benson	2	NA	Sun	Forest	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0
2005	A8	Benson	2	NA	Forest	Forest	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.67	0	0
2005	A9	Benson	2	NA	NOSEEDS	Forest	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
